@relation 'base6-191018-weka-weka.filters.unsupervised.attribute.Remove-R1-6,8,14-20'

@attribute nedge numeric
@attribute fval numeric
@attribute walklen numeric
@attribute hillclimb numeric
@attribute balswap numeric
@attribute improve1 numeric
@attribute drBool {FALSE,TRUE}

@data
797,12.925098,4,1,0,1,FALSE
756,11.449076,4,1,0,1,FALSE
764,12.950106,4,1,0,1,FALSE
788,36.280003,4,1,0,1,FALSE
791,36.932457,4,1,0,1,FALSE
847,39.0882,4,1,0,1,FALSE
781,38.131756,4,1,0,1,FALSE
818,15.557386,4,1,0,1,FALSE
803,13.894238,1,1,1,1,TRUE
768,13.309027,1,1,1,1,FALSE
819,36.568115,1,1,1,1,TRUE
788,35.99926,1,1,1,1,FALSE
803,36.344913,1,1,1,1,FALSE
732,12.343109,1,1,1,1,FALSE
825,13.156704,1,1,1,1,FALSE
798,14.922877,1,1,1,1,FALSE
828,38.16975,1,1,1,1,FALSE
802,14.402035,1,1,1,1,TRUE
794,13.355682,1,1,1,1,TRUE
775,35.092163,1,1,1,1,FALSE
