@relation 'base7-191018-weka-weka.filters.unsupervised.attribute.Remove-R1-6,8,14-17,19-20-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R4'

@attribute nedge numeric
@attribute fval numeric
@attribute walklen numeric
@attribute balswap numeric
@attribute improve1 numeric
@attribute drBool {FALSE,TRUE}

@data
3251,76.884155,1,0,0,FALSE
3210,31.768642,1,0,0,FALSE
3275,33.960312,1,0,0,FALSE
3305,31.466919,1,0,0,FALSE
3213,68.03035,1,0,0,FALSE
3186,31.42042,1,0,0,FALSE
3189,32.926765,1,0,0,FALSE
3180,32.834545,1,0,0,FALSE
3195,31.692032,1,0,0,FALSE
3181,68.310387,1,0,0,FALSE
3292,33.408447,1,0,0,FALSE
3163,67.779625,1,0,0,FALSE
3203,32.512321,1,0,0,FALSE
3237,31.378139,1,0,0,TRUE
3275,70.603821,1,0,0,FALSE
3283,33.718956,1,0,0,FALSE
3135,32.672485,1,0,0,FALSE
3096,32.11718,1,0,0,FALSE
3194,33.989403,1,0,1,FALSE
3162,67.735214,1,0,1,FALSE
3187,66.931763,1,0,1,FALSE
3197,33.475368,1,0,1,FALSE
3168,69.124748,1,0,1,FALSE
3213,32.839661,1,0,1,FALSE
3062,65.795982,1,0,1,FALSE
3191,70.373413,1,0,1,FALSE
3176,31.562405,1,0,1,FALSE
3249,34.079319,1,0,1,FALSE
3108,65.997475,1,0,1,FALSE
3085,29.87508,1,0,1,FALSE
3199,33.509155,1,0,1,FALSE
